Assembly,Level,WGS,BioSample,Strain,Taxonomy,NewBaps,Genome.Set,Pathogen,Serotype,Source,Year,P__MLSB_Erythromycin,P__MLSB_Tilmicosin,P__MLSB_Tylosin,P__MLSB_Lincomycin,P__Pleuro_Tiamulin,G__MLSB_ermB_M_O,G__MLSB_ermG_M_S,G__MLSB_ermT_M_S,G__MLSB_linB_M_O,G__MLSB_lnuB__M_O,G__MLSB_lnuC_M_O,G__MLSB_mefA_M_O,G__MLSB__msrD_M_O,G__Pleuro_lsaE_M_O,G__Pleuro_vgaF_C_N,P__Fluoro_Enrofloxacin,P__Fluoro_Marbofloxacin,G__Fluoro_GyrA_81_V_O,G__Fluoro_GyrA_85_V_O,G__Fluoro_ParC_79_V_O,P__Tetra_Tetracycline,P__Tetra_Doxycycline,G__Tetra_tet44_M_S,G__Tetra_tetM__M_O,G__Tetra_tetO_M_O,G__Tetra_tetW__M_O,G__Tetra_tet_40_M_O,G__Tetra_tetL_M_O,G__Tetra_tet_O.W.32.O_M_O,G__Tetra_tetM1_M_S,G__Tetra_tetM2__M_S,G__Tetra_tetM3__M_S,G__Tetra_tetO1_M_S,P__Amino_Spectinomycin,G__Amino_ant_4_Ib_M_S,G__Amino_ant_6_Ia_M_O,G__Amino_ant_6_Ib_M_S,G__Amino_ant_9_Ia_M_O,G__Amino_aph_3_IIIa_M_S,G__Amino_ant_1_M_U,G__Amino_aadE1_M_U,G__Amino_aadE2_M_U,P__TMP_Trimethoprim,G__TMP_DHFR_102_V_N,G__TMP_DHFRPromoter_S_N,G__TMP_dfrF_M_S,G__TMP_dfrK_M_S,P__Phen_Florifenicol,G__Phen_cat_M_S,P__Beta_Amoxicillin,P__Beta_Cefquinome,P__Beta_Ceftiofur,P__Beta_Penicillin,G__Beta_PBP2B.hap_V_N,G__Beta_PBP2X.hap_V_N,G__Beta_PBP2X_551_V_N,G__Beta_PBP2X_569_V_O,G__Beta_PBP2X_594.596_V_O,G__Beta_MraY.hap_V_N
GCA_013196905.1,Contig,JABLNQ000000000,SAMN14933370,684_2A,Streptococcus suis,8,RCUK_UK,NON-CLINICAL,25,Pig,2013,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,yes,no,no,no,no,no,no,yes,no,no,16,no,no,no,no,yes,no,no,no,0.12,yes,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013196875.1,Contig,JABLNP000000000,SAMN14933369,684_25C,Streptococcus suis,10,RCUK_UK,NON-CLINICAL,15,Pig,2013,0.015,2,0.5,1,1,no,no,no,no,no,no,no,no,no,no,1,1,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,yes,no,no,no,1,no,0.03,0.015,0.12,0.03,yes,no,no,no,no,no
GCA_013196835.1,Contig,JABLNR000000000,SAMN14933371,684_3A,Streptococcus suis,11,RCUK_UK,NON-CLINICAL,15,Pig,2013,0.015,4,0.5,0.5,2,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,1,no,0.03,0.03,0.12,0.06,no,no,no,no,no,no
GCA_013196825.1,Contig,JABLNS000000000,SAMN14933372,684_3B,Streptococcus suis,21,RCUK_UK,NON-CLINICAL,NA,Pig,2013,32,128,256,128,8,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,8,no,no,no,no,no,no,yes,no,no,no,no,8,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,1,no,0.03,0.06,0.5,0.25,yes,no,yes,no,no,no
GCA_013196815.1,Contig,JABLLE000000000,SAMN14933306,083_1A,Streptococcus suis,19,RCUK_UK,NON-CLINICAL,NA,Pig,2013,32,128,256,128,16,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,1,yes,no,no,no,2,no,0.03,0.06,0.5,2,yes,no,yes,no,no,no
GCA_013196795.1,Contig,JABLNT000000000,SAMN14933373,684_3C,Streptococcus suis,10,RCUK_UK,NON-CLINICAL,28,Pig,2013,0.015,2,1,1,2,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,1,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013196775.1,Contig,JABLNU000000000,SAMN14933374,684_4A,Streptococcus suis,13,RCUK_UK,NON-CLINICAL,16,Pig,2013,0.03,4,0.5,0.12,0.25,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,1,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013196735.1,Contig,JABLNY000000000,SAMN14933378,684_6B,Streptococcus suis,13,RCUK_UK,NON-CLINICAL,16,Pig,2013,0.03,4,0.5,0.12,0.25,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.015,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013196705.1,Contig,JABLLV000000000,SAMN14933323,359_6B,Streptococcus suis,9,RCUK_UK,NON-CLINICAL,10,Pig,2013,32,128,256,128,32,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,1,yes,yes,no,no,2,no,0.03,0.12,2,0.12,yes,yes,yes,no,no,no
GCA_013196695.1,Contig,JABLLW000000000,SAMN14933324,427_17B,Streptococcus suis,11,RCUK_UK,NON-CLINICAL,15,Pig,2013,0.03,4,0.5,1,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,1,yes,no,no,no,1,no,0.03,0.03,0.12,0.12,no,no,no,no,no,no
GCA_013196685.1,Contig,JABLNZ000000000,SAMN14933379,684_6C,Streptococcus suis,8,RCUK_UK,NON-CLINICAL,9,Pig,2013,0.03,2,0.5,1,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,4,no,yes,no,no,no,no,no,no,no,yes,no,32,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,1,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013196675.1,Contig,JABLOA000000000,SAMN14933380,684_7A,Streptococcus suis,8,RCUK_UK,NON-CLINICAL,25,Pig,2013,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,yes,no,no,no,no,no,no,yes,no,no,16,no,no,no,no,yes,no,no,no,0.12,yes,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013196635.1,Contig,JABLOC000000000,SAMN14933382,684_8A,Streptococcus suis,13,RCUK_UK,NON-CLINICAL,16,Pig,2013,0.03,4,0.5,0.12,0.25,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.015,no,no,no,no,1,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013196615.1,Contig,JABLOE000000000,SAMN14933384,684_9B,Streptococcus suis,8,RCUK_UK,NON-CLINICAL,9,Pig,2013,0.03,2,0.5,1,2,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,4,no,yes,no,no,no,no,no,no,no,yes,no,8,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,1,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013196605.1,Contig,JABLOD000000000,SAMN14933383,684_8C,Streptococcus suis,13,RCUK_UK,NON-CLINICAL,16,Pig,2013,0.03,4,1,0.12,0.25,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.015,no,no,no,no,2,no,0.03,0.015,0.25,0.03,no,no,no,no,no,no
GCA_013196595.1,Contig,JABLOB000000000,SAMN14933381,684_7C,Streptococcus suis,8,RCUK_UK,NON-CLINICAL,25,Pig,2013,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,yes,no,no,no,no,no,no,yes,no,no,16,no,no,no,no,yes,no,no,no,0.12,yes,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013196575.1,Contig,JABLOG000000000,SAMN14933386,714_15A,Streptococcus suis,28,RCUK_UK,NON-CLINICAL,7,Pig,2014,0.06,4,0.5,1,2,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,yes,no,no,no,no,no,no,yes,no,no,16,no,no,no,no,no,no,no,no,32,no,no,yes,no,2,no,0.03,0.008,0.12,0.03,no,no,no,no,no,no
GCA_013196545.1,Contig,JABLMK000000000,SAMN14933338,635_3A,Streptococcus suis,13,RCUK_UK,NON-CLINICAL,16,Pig,2013,0.03,4,0.5,0.12,0.25,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.015,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013196525.1,Contig,JABLJU000000000,SAMN14933270,TMW_SS090,Streptococcus suis,4,RCUK_APHA,SYS-BRAIN,14,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.06,0.12,0.03,no,no,no,no,no,no
GCA_013196495.1,Contig,JABLOH000000000,SAMN14933387,714_19B,Streptococcus suis,21,RCUK_UK,NON-CLINICAL,NA,Pig,2014,32,128,256,128,8,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,2,yes,yes,no,no,2,no,0.03,0.06,0.5,0.5,yes,yes,yes,no,no,yes
GCA_013196485.1,Contig,JABLOF000000000,SAMN14933385,714_14B,Streptococcus suis,10,RCUK_UK,NON-CLINICAL,28,Pig,2014,0.03,4,0.5,1,2,no,no,no,no,no,no,no,no,no,no,0.5,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,1,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
GCA_013196475.1,Contig,JABLOI000000000,SAMN14933388,714_21C,Streptococcus suis,19,RCUK_UK,NON-CLINICAL,NA,Pig,2014,32,128,256,128,4,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,32,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,2,yes,no,no,no,2,no,0.03,0.03,0.5,0.12,no,no,yes,no,no,no
GCA_013196455.1,Contig,JABLOJ000000000,SAMN14933389,714_3A,Streptococcus suis,21,RCUK_UK,NON-CLINICAL,NA,Pig,2014,32,128,256,128,8,yes,no,no,no,no,no,no,no,no,yes,0.12,0.5,no,no,no,64,16,no,no,yes,yes,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,2,no,0.03,0.06,0.5,0.5,yes,yes,yes,no,no,no
GCA_013196405.1,Contig,JABLMG000000000,SAMN14933334,632_9A,Streptococcus suis,13,RCUK_UK,NON-CLINICAL,16,Pig,2013,0.03,8,0.5,0.12,0.25,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.015,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013196385.1,Contig,JABLOL000000000,SAMN14933391,714_7B,Streptococcus suis,21,RCUK_UK,NON-CLINICAL,NA,Pig,2014,32,128,256,128,16,yes,no,no,no,no,no,no,no,no,yes,0.12,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.06,yes,no,no,no,2,no,0.03,0.06,0.5,0.5,yes,no,yes,no,no,no
GCA_013196375.1,Contig,JABLMH000000000,SAMN14933335,632_9C,Streptococcus suis,8,RCUK_UK,NON-CLINICAL,25,Pig,2013,32,128,256,128,0.12,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,yes,no,no,no,no,yes,0.03,no,no,no,no,2,no,0.03,0.12,2,0.5,no,yes,yes,no,no,no
GCA_013196395.1,Contig,JABLOK000000000,SAMN14933390,714_5C,Streptococcus suis,32,RCUK_UK,NON-CLINICAL,NA,Pig,2014,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,yes,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,4,yes,no,no,no,2,no,0.03,0.015,0.5,0.25,no,no,yes,no,no,no
GCA_013196315.1,Contig,JABLOM000000000,SAMN14933392,784_10A,Streptococcus suis,21,RCUK_UK,NON-CLINICAL,NA,Pig,2013,4,128,256,128,8,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,2,no,0.12,0.06,2,2,yes,yes,yes,no,no,yes
GCA_013196345.1,Contig,JABLND000000000,SAMN14933357,684_17C,Streptococcus suis,10,RCUK_UK,NON-CLINICAL,15,Pig,2013,0.03,4,0.5,2,2,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,4,no,yes,no,no,no,no,no,yes,no,no,no,16,no,no,no,no,no,no,no,no,2,yes,yes,no,no,1,no,0.03,0.004,0.06,0.03,no,no,no,no,no,no
GCA_013196275.1,Contig,JABLML000000000,SAMN14933339,635_5A,Streptococcus suis,31,RCUK_UK,NON-CLINICAL,NA,Pig,2013,0.015,2,0.5,8,32,no,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,1,no,0.03,0.03,1,1,yes,yes,yes,no,no,yes
GCA_013196285.1,Contig,JABLOQ000000000,SAMN14933396,784_17C,Streptococcus suis,21,RCUK_UK,NON-CLINICAL,NA,Pig,2013,32,128,256,128,16,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,1,no,0.12,0.06,1,2,yes,yes,yes,no,no,yes
GCA_013196295.1,Contig,JABLMI000000000,SAMN14933336,635_10C,Streptococcus suis,9,RCUK_UK,NON-CLINICAL,10,Pig,2013,32,128,256,128,8,yes,no,no,no,no,no,no,no,no,yes,0.25,2,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,2,no,0.03,0.03,0.5,0.25,yes,yes,yes,no,no,yes
GCA_013196245.1,Contig,JABLOV000000000,SAMN14933401,784_23B,Streptococcus suis,21,RCUK_UK,NON-CLINICAL,21,Pig,2013,8,128,256,128,8,yes,no,no,no,no,no,no,no,no,yes,0.12,0.25,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,1,yes,no,no,no,2,no,0.03,0.03,0.5,1,yes,no,yes,no,no,no
GCA_013196225.1,Contig,JABLOR000000000,SAMN14933397,784_18B,Streptococcus suis,31,RCUK_UK,NON-CLINICAL,NA,Pig,2013,32,128,256,128,64,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,4,yes,yes,no,no,2,no,0.03,0.015,0.25,0.12,yes,yes,yes,no,no,no
GCA_013196215.1,Contig,JABLOU000000000,SAMN14933400,784_21A,Streptococcus suis,11,RCUK_UK,NON-CLINICAL,NA,Pig,2013,32,128,256,128,4,yes,no,no,no,no,no,no,no,no,yes,0.5,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.015,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013196185.1,Contig,JABLNC000000000,SAMN14933356,684_16A,Streptococcus suis,9,RCUK_UK,NON-CLINICAL,9,Pig,2013,0.03,4,1,8,8,no,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,1,yes,yes,no,no,2,no,0.03,0.03,1,0.25,yes,yes,yes,no,no,no
GCA_013196175.1,Contig,JABLOT000000000,SAMN14933399,784_20A,Streptococcus suis,8,RCUK_UK,NON-CLINICAL,6,Pig,2013,0.06,4,1,0.12,0.25,no,no,no,no,no,no,no,no,no,no,0.5,0.5,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013196155.1,Contig,JABLMN000000000,SAMN14933341,635_6C,Streptococcus suis,11,RCUK_UK,NON-CLINICAL,15,Pig,2013,0.03,4,0.5,4,8,no,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,32,4,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,yes,no,no,no,1,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013196115.1,Contig,JABLMO000000000,SAMN14933342,635_8C,Streptococcus suis,13,RCUK_UK,NON-CLINICAL,16,Pig,2013,0.03,4,0.5,0.12,0.25,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013196105.1,Contig,JABLNE000000000,SAMN14933358,684_18A,Streptococcus suis,16,RCUK_UK,NON-CLINICAL,NA,Pig,2013,32,128,256,128,64,yes,no,no,no,no,no,no,no,no,yes,0.25,1,no,no,no,64,16,yes,no,yes,no,no,no,no,no,no,no,no,8,no,no,yes,no,no,no,no,yes,16,yes,no,no,no,2,no,0.5,0.25,4,1,yes,yes,no,yes,yes,yes
GCA_013196095.1,Contig,JABLOW000000000,SAMN14933402,784_23C,Streptococcus suis,8,RCUK_UK,NON-CLINICAL,NA,Pig,2013,0.03,4,0.5,4,2,no,no,no,no,no,no,no,no,no,no,0.5,0.5,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,1,yes,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013196075.1,Contig,JABLOS000000000,SAMN14933398,784_18C,Streptococcus suis,9,RCUK_UK,NON-CLINICAL,31,Pig,2013,0.03,4,1,8,8,no,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,16,yes,yes,no,no,2,no,0.03,0.03,0.5,0.5,yes,yes,yes,no,no,yes
GCA_013196055.1,Contig,JABLOX000000000,SAMN14933403,784_24A,Streptococcus suis,22,RCUK_UK,NON-CLINICAL,NA,Pig,2013,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,2,0.06,no,no,no,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.5,no,no,no,no,2,no,0.03,0.008,0.06,0.03,yes,no,no,no,no,no
GCA_013196015.1,Contig,JABLOY000000000,SAMN14933404,784_24B,Streptococcus suis,19,RCUK_UK,NON-CLINICAL,NA,Pig,2013,0.03,4,1,1,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,yes,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
GCA_013196005.1,Contig,JABLOZ000000000,SAMN14933405,784_2C,Streptococcus suis,8,RCUK_UK,NON-CLINICAL,6,Pig,2013,0.03,4,1,0.12,0.25,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013195985.1,Contig,JABLKL000000000,SAMN14933287,TMW_SS107,Streptococcus suis,12,RCUK_APHA,NON-CLINICAL,28,Pig,2015,32,128,256,128,16,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,no,no,yes,no,no,8,yes,yes,no,no,2,no,0.03,0.06,0.5,0.25,yes,no,yes,no,no,no
GCA_013195975.1,Contig,JABLNF000000000,SAMN14933359,684_18B,Streptococcus suis,21,RCUK_UK,NON-CLINICAL,NA,Pig,2013,0.03,4,1,8,16,no,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,2,yes,no,no,no,1,no,0.06,0.06,1,0.5,yes,yes,yes,no,no,yes
GCA_013195955.1,Contig,JABLNV000000000,SAMN14933375,684_5A,Streptococcus suis,13,RCUK_UK,NON-CLINICAL,16,Pig,2013,0.03,4,0.5,0.12,0.25,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013195925.1,Contig,JABLNX000000000,SAMN14933377,684_6A,Streptococcus suis,10,RCUK_UK,NON-CLINICAL,15,Pig,2013,0.015,2,0.5,2,2,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,yes,no,no,no,0.015,no,no,no,no,1,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013195905.1,Contig,JABLPA000000000,SAMN14933406,784_3A,Streptococcus suis,10,RCUK_UK,NON-CLINICAL,NA,Pig,2013,0.03,4,1,4,4,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.12,yes,no,no,no,1,no,0.03,0.008,0.06,0.03,yes,no,no,no,no,no
GCA_013195875.1,Contig,JABLPD000000000,SAMN14933409,784_5C,Streptococcus suis,8,RCUK_UK,NON-CLINICAL,16,Pig,2013,0.03,4,0.5,0.06,0.25,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013195865.1,Contig,JABLPB000000000,SAMN14933407,784_3B,Streptococcus suis,30,RCUK_UK,NON-CLINICAL,4,Pig,2013,0.015,2,0.5,4,8,no,no,no,no,no,no,no,no,no,yes,1,2,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,4,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.06,0.06,1,0.25,yes,yes,no,no,no,yes
GCA_013195855.1,Contig,JABLPC000000000,SAMN14933408,784_4B,Streptococcus suis,31,RCUK_UK,NON-CLINICAL,NA,Pig,2013,0.03,1,0.5,16,64,no,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,4,yes,no,no,no,1,no,0.03,0.03,0.5,0.12,no,yes,yes,no,no,yes
GCA_013195835.1,Contig,JABLPI000000000,SAMN14933414,784_9A,Streptococcus suis,8,RCUK_UK,NON-CLINICAL,9,Pig,2013,0.03,4,0.5,2,2,no,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,32,8,no,yes,no,no,no,no,no,no,no,yes,no,16,no,no,no,no,no,no,no,no,0.015,no,no,no,no,1,no,0.03,0.03,0.5,0.06,no,no,yes,no,no,no
GCA_013195765.1,Contig,JABLMJ000000000,SAMN14933337,635_11B,Streptococcus suis,11,RCUK_UK,NON-CLINICAL,15,Pig,2013,0.015,4,0.5,4,16,no,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,yes,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013195785.1,Contig,JABLLT000000000,SAMN14933321,270_24B,Streptococcus suis,16,RCUK_UK,NON-CLINICAL,NA,Pig,2013,0.03,4,0.5,128,16,no,no,no,yes,no,no,no,no,yes,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,1,yes,no,no,no,1,no,0.06,0.06,2,0.25,yes,yes,no,yes,yes,yes
GCA_013195775.1,Contig,JABLPE000000000,SAMN14933410,784_6A,Streptococcus suis,14,RCUK_UK,NON-CLINICAL,31,Pig,2013,32,128,256,128,32,yes,no,no,no,no,no,yes,yes,no,yes,1,1,no,no,no,4,0.12,no,no,no,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,2,no,0.03,0.03,0.25,0.03,yes,no,no,no,no,no
GCA_013195755.1,Contig,JABLPJ000000000,SAMN14933415,876_15B,Streptococcus suis,8,RCUK_UK,NON-CLINICAL,9,Pig,2013,0.03,4,0.5,1,2,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,16,4,no,yes,no,no,no,no,no,no,no,yes,no,32,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013195735.1,Contig,JABLPK000000000,SAMN14933416,876_15C,Streptococcus suis,8,RCUK_UK,NON-CLINICAL,9,Pig,2013,0.06,4,0.5,1,2,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,16,4,no,yes,no,no,no,no,no,no,no,yes,no,32,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013195705.1,Contig,JABLPL000000000,SAMN14933417,876_19A,Streptococcus suis,9,RCUK_UK,NON-CLINICAL,8,Pig,2013,0.03,4,1,8,8,no,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,2,yes,yes,no,no,2,no,0.03,0.03,1,0.5,yes,yes,yes,no,no,yes
GCA_013195685.1,Contig,JABLOO000000000,SAMN14933394,784_15B,Streptococcus suis,21,RCUK_UK,NON-CLINICAL,NA,Pig,2013,32,128,256,128,8,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,1,no,0.12,0.06,1,1,yes,yes,yes,no,no,yes
