ID,DCM (2),Species(3),Source,Source grouped by anatomical site,Computerome QC_pipeline output Sample,Bases (MB),Qual Bases (MB),Qual bases %,Reads,Qual reads,Qual reads %,Most common adapter (count),2. Most common adapter (count),Other adapters (count),N50,No ctgs,longest,total bps,ENA accession number (ERS),ENA accession number (ERR),Species,MIC panel,amikacin,ampicillin,ampicillin/sulbactam,aztreonam,cefazolin,cefepime,cephalothin,meropenem,ertapenem,cefuroxime,gentamicin,ciprofloxacin,piperacillin/tazobactam,cefoxitin,trimethoprim,sulfamethoxazole,cefpodoxime,ceftazidime,tobramycin,tigecycline,ticarcillin/clavulanic acid,ceftriaxone,tetracycline,colistin
1D-118,F4,Escherichia coli,Urine,Urine,DTU2018-850-PRJ1139-Escherichia-coli-1D-118_R1_001,450,366,81.36%,3062794,2729016,89.10%,180,75,152,197254,60,440724,4987699,ERS4415905,ERR4013497,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-119,F4,Escherichia coli,Urine,Urine,DTU2018-851-PRJ1139-Escherichia-coli-1D-119_R1_001,1333,1126,84.50%,9575314,8678494,90.63%,2068,198,517,310396,66,573816,5324435,ERS4415906,ERR4013498,Escherichia coli,GN3F + FRCOL,≤8,>32,32/16,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,>4,≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-120,F4,Escherichia coli,Urine,Urine,DTU2018-852-PRJ1139-Escherichia-coli-1D-120_R1_001,352,293,83.34%,2413054,2180826,90.38%,209,73,128,257569,63,483059,4903272,ERS4415907,ERR4013499,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,4,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-121,F4,Escherichia coli,Abscess aspirate flank,Abdomen,DTU2018-853-PRJ1139-Escherichia-coli-1D-121_R1_001,84,69,82.48%,582304,522544,89.74%,60,11,19,42585,236,178465,4927580,ERS4415908,ERR4013500,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-122,F4,Escherichia coli,Urine,Urine,DTU2018-854-PRJ1139-Escherichia-coli-1D-122_R1_001,706,601,85.18%,5178760,4690258,90.57%,1283,46,262,414979,47,836137,4930437,ERS4415909,ERR4013501,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-123,F4,Escherichia coli,Urine,Urine,DTU2018-855-PRJ1139-Escherichia-coli-1D-123_R1_001,701,599,85.48%,5093458,4611738,90.54%,1243,386,636,235727,125,625983,5386373,ERS4415910,ERR4013502,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,4,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-124,F4,Escherichia coli,Urine,Urine,DTU2018-856-PRJ1139-Escherichia-coli-1D-124_R1_001,213,165,77.44%,1457478,1263200,86.67%,137,53,106,79437,155,283204,5077426,ERS4415911,ERR4013503,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,4,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-125,F4,Escherichia coli,Urine,Urine,DTU2018-857-PRJ1139-Escherichia-coli-1D-125_R1_001,624,525,84.21%,4345708,3943580,90.75%,518,182,289,153732,90,385102,5079570,ERS4415912,ERR4013504,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,16,>32,≤4,>16,≤1,≤2,>32,≤2,>4,≤16/4,8,"≤0,5/9,5",NA,>16,8,≤4,≤1,≤16/2,>64,1,0.25
1D-126,F5,Escherichia coli,Urine,Urine,DTU2018-858-PRJ1139-Escherichia-coli-1D-126_R1_001,321,269,83.81%,2229732,2020666,90.62%,260,15,54,180415,124,363704,5134025,ERS4415913,ERR4013505,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,8,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-127,F5,Escherichia coli,Urine,Urine,DTU2018-859-PRJ1139-Escherichia-coli-1D-127_R1_001,422,358,84.91%,3239002,2895470,89.39%,1245,276,482,218442,61,527714,4962658,ERS4415914,ERR4013506,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-128,F5,Escherichia coli,Urine,Urine,DTU2018-860-PRJ1139-Escherichia-coli-1D-128_R1_001,590,504,85.35%,4831280,4274532,88.48%,3421,1038,1343,557161,46,765294,5104153,ERS4415915,ERR4013507,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-129,F5,Escherichia coli,Urine,Urine,DTU2018-861-PRJ1139-Escherichia-coli-1D-129_R1_001,356,299,84.12%,2482940,2252800,90.73%,281,69,134,229031,71,691420,5010948,ERS4415916,ERR4013508,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-130,F5,Escherichia coli,Urine,Urine,DTU2018-862-PRJ1139-Escherichia-coli-1D-130_R1_001,475,400,84.26%,3309624,3000074,90.65%,448,48,166,104027,158,297580,4864516,ERS4415917,ERR4013509,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-131,F5,Escherichia coli,Urine,Urine,DTU2018-863-PRJ1139-Escherichia-coli-1D-131_R1_001,468,395,84.35%,3282888,2980016,90.77%,486,45,132,412242,63,766402,5027728,ERS4415918,ERR4013510,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.25
1D-132,F5,Escherichia coli,Urine,Urine,DTU2018-864-PRJ1139-Escherichia-coli-1D-132_R1_001,310,260,83.93%,2131328,1936992,90.88%,205,49,108,177974,97,369379,4917225,ERS4415919,ERR4013511,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-133,F5,Escherichia coli,Urine,Urine,DTU2018-865-PRJ1139-Escherichia-coli-1D-133_R1_001,171,142,82.70%,1181410,1061572,89.86%,114,19,44,123252,107,258682,5034765,ERS4415920,ERR4013512,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-134,F5,Escherichia coli,Urine,Urine,DTU2018-866-PRJ1139-Escherichia-coli-1D-134_R1_001,540,457,84.67%,3771214,3433298,91.04%,531,88,107,188803,66,496898,5095191,ERS4415921,ERR4013513,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.25
1D-135,F5,Escherichia coli,Urine,Urine,DTU2018-867-PRJ1139-Escherichia-coli-1D-135_R1_001,380,324,85.26%,2666278,2438274,91.45%,384,125,162,162508,110,350268,4838087,ERS4415922,ERR4013514,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,32/2,≤1,>16,0.25
1D-136,F5,Escherichia coli,Urine,Urine,DTU2018-868-PRJ1139-Escherichia-coli-1D-136_R1_001,177,139,78.49%,1209424,1058314,87.51%,109,29,83,129307,123,291239,5113455,ERS4415923,ERR4013515,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,2,≤4,≤1,≤16/2,≤1,2,0.5
1D-137,F5,Escherichia coli,Urine,Urine,DTU2018-869-PRJ1139-Escherichia-coli-1D-137_R1_001,639,542,84.73%,4458050,4062696,91.13%,593,173,288,388658,97,777092,5121639,ERS4415924,ERR4013516,Escherichia coli,GN3F + FRCOL,≤8,>32,32/16,≤4,8,≤4,>16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,32/2,≤1,1,0.5
1D-138,F5,Escherichia coli,Urine,Urine,DTU2018-870-PRJ1139-Escherichia-coli-1D-138_R1_001,505,426,84.47%,3537810,3214166,90.85%,522,21,106,191227,93,363231,5221938,ERS4415925,ERR4013517,Escherichia coli,GN3F + FRCOL,16,>32,32/16,≤4,>32,≤4,>16,≤1,≤2,>32,≤2,>4,≤16/4,8,>4/76,NA,>16,≤1,>8,≤1,64/2,64,4,0.5
1D-139,F5,Escherichia coli,Blood,Blood,DTU2018-871-PRJ1139-Escherichia-coli-1D-139_R1_001,554,475,85.85%,3930156,3602358,91.66%,694,116,213,208308,96,349274,5076179,ERS4415926,ERR4013518,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,8,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-140,F5,Escherichia coli,Faeces,Stool or rectum,DTU2018-872-PRJ1139-Escherichia-coli-1D-140_R1_001,663,562,84.73%,4713804,4285976,90.92%,884,295,530,78310,230,181289,5334643,ERS4415927,ERR4013519,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-141,F5,Escherichia coli,Faeces,Stool or rectum,DTU2018-873-PRJ1139-Escherichia-coli-1D-141_R1_001,142,118,83.50%,984732,892024,90.59%,86,33,54,86168,191,245980,5237543,ERS4415928,ERR4013520,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,≤2,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-142,F5,Escherichia coli,Urine,Urine,DTU2018-874-PRJ1139-Escherichia-coli-1D-142_R1_001,501,424,84.69%,3551320,3227520,90.88%,616,85,261,202538,96,620234,5108735,ERS4415929,ERR4013521,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,4,≤4,≤1,≤16/2,≤1,2,0.5
1D-143,F5,Escherichia coli,Urine,Urine,DTU2018-875-PRJ1139-Escherichia-coli-1D-143_R1_001,816,668,81.87%,5875512,5216770,88.79%,1498,132,286,188239,66,556756,4779513,ERS4415930,ERR4013522,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-144,F5,Escherichia coli,Urine,Urine,DTU2018-876-PRJ1139-Escherichia-coli-1D-144_R1_001,459,374,81.63%,3221038,2868622,89.06%,465,110,249,112832,144,464500,5207888,ERS4415931,ERR4013523,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-145,F5,Escherichia coli,Urine,Urine,DTU2018-877-PRJ1139-Escherichia-coli-1D-145_R1_001,381,306,80.35%,2652014,2338590,88.18%,366,45,128,273810,54,927522,5154780,ERS4415932,ERR4013524,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,≤2,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-146,F5,Escherichia coli,Urine,Urine,DTU2018-878-PRJ1139-Escherichia-coli-1D-146_R1_001,360,296,82.14%,2569508,2290538,89.14%,508,55,95,272687,62,660045,5079232,ERS4415933,ERR4013525,Escherichia coli,GN3F + FRCOL,≤8,>32,32/16,≤4,≤4,≤4,>16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,32/2,≤1,2,0.5
1D-147,F6,Escherichia coli,Tissue,Undetermined,DTU2018-879-PRJ1139-Escherichia-coli-1D-147_R1_001,476,392,82.56%,3380176,3026354,89.53%,632,143,258,192645,97,492179,5144938,ERS4415934,ERR4013526,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,2,≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-148,F6,Escherichia coli,Urine,Urine,DTU2018-880-PRJ1139-Escherichia-coli-1D-148_R1_001,122,92,75.42%,841448,717736,85.30%,130,21,57,91475,126,194575,5160626,ERS4415935,ERR4013527,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,16,≤1,≤2,8,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,32/2,≤1,>16,0.5
1D-149,F6,Escherichia coli,Urine,Urine,DTU2018-881-PRJ1139-Escherichia-coli-1D-149_R1_001,384,315,81.99%,2708320,2418512,89.30%,505,99,152,119611,207,411544,5342004,ERS4415936,ERR4013528,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,>16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,32/2,≤1,>16,0.5
1D-150,F6,Escherichia coli,Urine,Urine,DTU2018-882-PRJ1139-Escherichia-coli-1D-150_R1_001,306,249,81.48%,2161516,1920690,88.86%,380,19,63,161084,111,533670,5190478,ERS4415937,ERR4013529,Escherichia coli,GN3F + FRCOL,≤8,>32,>32/16,≤4,16,≤4,>16,≤1,≤2,≤4,≤2,>4,128/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,>64/2,≤1,2,0.5
1D-151,F6,Escherichia coli,Urine,Urine,DTU2018-883-PRJ1139-Escherichia-coli-1D-151_R1_001,688,574,83.42%,5006440,4488842,89.66%,1220,97,256,133486,142,381130,5326431,ERS4415938,ERR4013530,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,≤4,≤4,≤4,8,≤1,≤2,8,≤2,>4,≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-152,F6,Escherichia coli,Urine,Urine,DTU2018-884-PRJ1139-Escherichia-coli-1D-152_R1_001,758,624,82.36%,5466300,4873958,89.16%,1329,261,583,275500,54,847878,4774801,ERS4415939,ERR4013531,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,4,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.25
1D-153,F6,Escherichia coli,Urine,Urine,DTU2018-885-PRJ1139-Escherichia-coli-1D-153_R1_001,544,445,81.79%,3892114,3461958,88.95%,829,158,325,197301,116,659093,5108200,ERS4415940,ERR4013532,Escherichia coli,GN3F + FRCOL,≤8,8,8/4,≤4,≤4,≤4,>16,≤1,≤2,16,≤2,>4,≤16/4,16,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,4,0.5
1D-154,F6,Escherichia coli,Urine,Urine,DTU2018-886-PRJ1139-Escherichia-coli-1D-154_R1_001,511,419,82.02%,3626054,3231584,89.12%,716,56,216,231981,164,372645,5245106,ERS4415941,ERR4013533,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-155,F6,Escherichia coli,Urine,Urine,DTU2018-887-PRJ1139-Escherichia-coli-1D-155_R1_001,323,270,83.70%,2269854,2054048,90.49%,262,93,104,230231,102,569594,5174880,ERS4415942,ERR4013534,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-156,F7,Escherichia coli,Urine,Urine,DTU2018-888-PRJ1139-Escherichia-coli-1D-156_R1_001,429,361,84.26%,3012324,2736200,90.83%,329,127,340,140554,150,538267,5319081,ERS4415943,ERR4013535,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-157,F8,Escherichia coli,Urine,Urine,DTU2018-889-PRJ1139-Escherichia-coli-1D-157_R1_001,464,383,82.54%,3210046,2885026,89.87%,278,112,184,121464,159,423212,5404723,ERS4415944,ERR4013536,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-158,F8,Escherichia coli,Urine,Urine,DTU2018-890-PRJ1139-Escherichia-coli-1D-158_R1_001,580,487,83.90%,4147662,3761230,90.68%,607,231,230,233662,165,427541,5236636,ERS4415945,ERR4013537,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,>32,≤4,>16,≤1,≤2,>32,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,>16,≤1,≤4,≤1,≤16/2,>64,2,"0,5"
1D-159,F8,Escherichia coli,Urine,Urine,DTU2018-891-PRJ1139-Escherichia-coli-1D-159_R1_001,452,380,84.06%,3181174,2889742,90.84%,341,126,359,109390,144,446356,5177397,ERS4415946,ERR4013538,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-160,F8,Escherichia coli,Urine,Urine,DTU2018-892-PRJ1139-Escherichia-coli-1D-160_R1_001,137,106,77.55%,945874,820634,86.76%,74,31,83,164646,84,510197,5146279,ERS4415947,ERR4013539,Escherichia coli,GN3F + FRCOL,≤8,>32,32/16,≤4,≤4,≤4,16,≤1,≤2,16,≤2,"≤0,5",≤16/4,8,>4/76,NA,≤2,≤1,≤4,≤1,64/2,≤1,2,0.5
1D-161,F8,Escherichia coli,Urine,Urine,DTU2018-893-PRJ1139-Escherichia-coli-1D-161_R1_001,567,476,83.89%,3952822,3586294,90.73%,378,153,373,109952,119,364577,5274672,ERS4415948,ERR4013540,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-162,F8,Escherichia coli,Urine,Urine,DTU2018-894-PRJ1139-Escherichia-coli-1D-162_R1_001,457,381,83.39%,3170852,2865730,90.38%,283,96,92,204227,103,591846,5211005,ERS4415949,ERR4013541,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-163,F9,Escherichia coli,Urine,Urine,DTU2018-895-PRJ1139-Escherichia-coli-1D-163_R1_001,833,714,85.63%,6210610,5648372,90.95%,1368,540,545,203307,83,625654,5137317,ERS4415950,ERR4013542,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-164,F9,Escherichia coli,Faeces,Stool or rectum,DTU2018-1368-PRJ1139-Escherichia-coli-1D-164-reextract_R1_001,275,231,84.05%,1976136,1797668,90.97%,362,36,116,226469,40,676641,4471461,ERS4415951,ERR4013543,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,4,"0,5"
1D-165,F9,Escherichia coli,Swab,Undetermined,DTU2018-897-PRJ1139-Escherichia-coli-1D-165_R1_001,455,379,83.28%,3197054,2890222,90.40%,385,141,267,111947,240,263777,5518390,ERS4415952,ERR4013544,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,16,≤1,≤2,8,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,32/2,≤1,>16,0.5
1D-166,F9,Escherichia coli,Urine,Urine,DTU2018-898-PRJ1139-Escherichia-coli-1D-166_R1_001,569,480,84.32%,4030192,3661888,90.86%,473,196,250,189968,98,695755,5049275,ERS4415953,ERR4013545,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,8,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-167,F9,Escherichia coli,Urine,Urine,DTU2018-899-PRJ1139-Escherichia-coli-1D-167_R1_001,478,402,83.99%,3385272,3060760,90.41%,580,54,126,203075,66,628256,5140864,ERS4415954,ERR4013546,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,32/2,≤1,2,0.25
1D-168,F9,Escherichia coli,Urine,Urine,DTU2018-900-PRJ1139-Escherichia-coli-1D-168_R1_001,1011,844,83.49%,6951608,6281454,90.36%,724,237,433,563777,43,764008,5092192,ERS4415955,ERR4013547,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-169,F9,Escherichia coli,Urine,Urine,DTU2018-901-PRJ1139-Escherichia-coli-1D-169_R1_001,777,642,82.71%,5374492,4818510,89.66%,659,117,212,217155,89,714995,5168842,ERS4415956,ERR4013548,Escherichia coli,GN3F + FRCOL,16,>32,32/16,>32,>32,8,>16,≤1,≤2,>32,≤2,>4,64/4,8,>4/76,NA,>16,32,>8,≤1,>64/2,>64,4,1
1D-170,F9,Escherichia coli,Blood,Blood,DTU2018-902-PRJ1139-Escherichia-coli-1D-170_R1_001,199,166,83.71%,1381868,1249444,90.42%,154,14,38,119979,96,337500,5020776,ERS4415957,ERR4013549,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,4,0.5
1D-171,F1,Escherichia coli,Urine,Urine,DTU2018-903-PRJ1139-Klebsiella-oxytoca-1D-171_R1_001,640,546,85.35%,4551712,4150164,91.18%,881,254,309,269549,58,561664,5065907,ERS4415958,ERR4013550,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,8,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,32/2,≤1,4,0.5
1D-267,F10,Escherichia coli,Swab wound decubitus,Skin or soft tissue,DTU2018-1370-PRJ1139-Staphylococcus-aureus-1D-267-reextract_R1_001,145,121,84.04%,1061786,961774,90.58%,276,45,81,105253,143,306865,5040601,ERS4416051,ERR4013643,Escherichia coli,GN3F + FRCOL,≤8,>32,32/16,≤4,≤4,≤4,8,≤1,≤2,8,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,>64/2,≤1,2,"0,5"
1D-460,F3,Escherichia coli,Urine,Urine,DTU2018-1192-PRJ1139-Aerococcus-urinae-1D-460_R1_001,234,198,84.54%,1656256,1516334,91.55%,122,27,68,204640,72,691975,4950779,ERS4416242,ERR4013834,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
