Assembly,Level,run_accession,sample_accession,sample,Taxonomy,CC,mecA Type,Penicillin MIC ug/ml + 15ug/ml Clavulanic acid,Penicillin MIC ug/ml,Amoxicillin MIC ug/ml + 15ug/ml Clavulanic acid,Amoxicillin MIC ug/ml,Number,Isolate,ENA accession,Penicillin/clavulanic acid susceptibility based on ECOFF of ≤2.0 µg/ml.,fastq_ftp,year
NA,NA,ERR702057,SAMEA2042709,MPROS737,NA,22,NA,0.25,12,NA,NA,21,MPROS737,ERS197554,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702057/ERR702057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702057/ERR702057_2.fastq.gz,2015
NA,NA,ERR702078,SAMEA2042717,MPROS608,NA,22,NA,12,48,NA,NA,22,MPROS608,ERS197575,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702078/ERR702078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702078/ERR702078_2.fastq.gz,2015
NA,NA,ERR702102,SAMEA2042726,MPROS642,NA,22,NA,8,32,NA,NA,23,MPROS642,ERS197602,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702102/ERR702102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702102/ERR702102_2.fastq.gz,2015
NA,NA,ERR702115,SAMEA2040820,MPROS551,NA,22,NA,0.032,1.5,NA,NA,24,MPROS551,ERS197618,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702115/ERR702115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702115/ERR702115_2.fastq.gz,2015
NA,NA,ERR702120,SAMEA2042809,MPROS521,NA,22,NA,8,32,NA,NA,25,MPROS521,ERS197623,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702120/ERR702120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702120/ERR702120_2.fastq.gz,2015
NA,NA,ERR702125,SAMEA2040881,MPROS486,NA,22,NA,12,48,NA,NA,26,MPROS486,ERS197630,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702125/ERR702125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702125/ERR702125_2.fastq.gz,2015
NA,NA,ERR702202,SAMEA2664846,MPROS2048,NA,22,NA,0.023,2,NA,NA,27,MPROS2048,ERS512857,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702202/ERR702202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702202/ERR702202_2.fastq.gz,2015
NA,NA,ERR714765,SAMEA2041434,MPROS907,NA,22,NA,8,48,NA,NA,28,MPROS907,ERS197885,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714765/ERR714765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714765/ERR714765_2.fastq.gz,2015
NA,NA,ERR714827,SAMEA2663781,MPROS1191,NA,22,NA,8,32,NA,NA,29,MPROS1191,ERS511792,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714827/ERR714827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714827/ERR714827_2.fastq.gz,2015
NA,NA,ERR714895,SAMEA2663983,MPROS1231,NA,22,NA,4,16,NA,NA,30,MPROS1231,ERS511994,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714895/ERR714895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714895/ERR714895_2.fastq.gz,2015
NA,NA,ERR714903,SAMEA2663766,MPROS0728,NA,22,NA,0.094,8,NA,NA,31,MPROS0728,ERS511777,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714903/ERR714903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714903/ERR714903_2.fastq.gz,2015
NA,NA,ERR714956,SAMEA2041220,MPROS0820,NA,22,NA,1,12,NA,NA,32,MPROS0820,ERS197798,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714956/ERR714956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714956/ERR714956_2.fastq.gz,2015
NA,NA,ERR715032,SAMEA2041702,MPROS1012,NA,22,NA,4,48,NA,NA,33,MPROS1012,ERS197982,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715032/ERR715032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715032/ERR715032_2.fastq.gz,2015
NA,NA,ERR715118,SAMEA2664414,MPROS1796,NA,22,NA,3,32,NA,NA,34,MPROS1796,ERS512425,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715118/ERR715118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715118/ERR715118_2.fastq.gz,2015
NA,NA,ERR715125,SAMEA2664421,MPROS1807,NA,22,NA,6,32,NA,NA,35,MPROS1807,ERS512432,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715125/ERR715125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715125/ERR715125_2.fastq.gz,2015
NA,NA,ERR715127,SAMEA2664423,MPROS1811,NA,22,NA,6,16,NA,NA,36,MPROS1811,ERS512434,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715127/ERR715127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715127/ERR715127_2.fastq.gz,2015
NA,NA,ERR715171,SAMEA2664456,MPROS2220,NA,22,NA,3,24,NA,NA,37,MPROS2220,ERS512467,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715171/ERR715171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715171/ERR715171_2.fastq.gz,2015
NA,NA,ERR715196,SAMEA2664616,MPROS1921,NA,22,NA,8,48,NA,NA,38,MPROS1921,ERS512627,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715196/ERR715196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715196/ERR715196_2.fastq.gz,2015
NA,NA,ERR715212,SAMEA2664648,MPROS2094,NA,22,NA,6,24,NA,NA,39,MPROS2094,ERS512659,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715212/ERR715212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715212/ERR715212_2.fastq.gz,2015
NA,NA,ERR715216,SAMEA2664656,MPROS1894,NA,22,NA,8,48,NA,NA,40,MPROS1894,ERS512667,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715216/ERR715216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715216/ERR715216_2.fastq.gz,2015
NA,NA,ERR715239,SAMEA2664700,MPROS2236,NA,22,NA,8,32,NA,NA,41,MPROS2236,ERS512711,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715239/ERR715239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715239/ERR715239_2.fastq.gz,2015
NA,NA,ERR715255,SAMEA2664529,MPROS2092,NA,22,NA,1,12,NA,NA,42,MPROS2092,ERS512540,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715255/ERR715255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715255/ERR715255_2.fastq.gz,2015
NA,NA,ERR715292,SAMEA2664878,MPROS2152,NA,22,NA,8,48,NA,NA,43,MPROS2152,ERS512889,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715292/ERR715292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715292/ERR715292_2.fastq.gz,2015
NA,NA,ERR715361,SAMEA2664915,MPROS2455,NA,22,NA,8,32,NA,NA,44,MPROS2455,ERS512926,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715361/ERR715361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715361/ERR715361_2.fastq.gz,2015
NA,NA,ERR715421,SAMEA2664983,MPROS2310,NA,22,NA,4,24,NA,NA,45,MPROS2310,ERS512994,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715421/ERR715421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715421/ERR715421_2.fastq.gz,2015
NA,NA,ERR714025,SAMEA2675680,EOE0310,NA,22,NA,12,48,NA,NA,46,EOE0310,ERS515704,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714025/ERR714025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714025/ERR714025_2.fastq.gz,2015
NA,NA,ERR714030,SAMEA2675685,EOE0317,NA,22,NA,8,48,NA,NA,47,EOE0317,ERS515709,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714030/ERR714030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714030/ERR714030_2.fastq.gz,2015
NA,NA,ERR714051,SAMEA2675706,EOE0344,NA,22,NA,6,24,NA,NA,48,EOE0344,ERS515730,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714051/ERR714051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714051/ERR714051_2.fastq.gz,2015
NA,NA,ERR714053,SAMEA2675708,EOE0343,NA,22,NA,0.75,12,NA,NA,49,EOE0343,ERS515732,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714053/ERR714053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714053/ERR714053_2.fastq.gz,2015
NA,NA,ERR714060,SAMEA2675715,EOE0280,NA,22,NA,6,32,NA,NA,50,EOE0280,ERS515739,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714060/ERR714060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714060/ERR714060_2.fastq.gz,2015
NA,NA,ERR736955,SAMEA2665033,MPROS2370,NA,22,NA,0.125,3,NA,NA,51,MPROS2370,ERS513044,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR736/ERR736955/ERR736955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR736/ERR736955/ERR736955_2.fastq.gz,2015
NA,NA,ERR736990,SAMEA2665059,MPROS2388,NA,22,NA,16,48,NA,NA,52,MPROS2388,ERS513070,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR736/ERR736990/ERR736990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR736/ERR736990/ERR736990_2.fastq.gz,2015
NA,NA,ERR736992,SAMEA2665062,MPROS2472,NA,22,NA,8,24,NA,NA,53,MPROS2472,ERS513073,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR736/ERR736992/ERR736992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR736/ERR736992/ERR736992_2.fastq.gz,2015
NA,NA,ERR737010,SAMEA2665088,MPROS2434,NA,22,NA,0.38,16,NA,NA,54,MPROS2434,ERS513099,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737010/ERR737010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737010/ERR737010_2.fastq.gz,2015
NA,NA,ERR737066,SAMEA2663913,MPROS1316,NA,22,NA,8,48,NA,NA,55,MPROS1316,ERS511924,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737066/ERR737066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737066/ERR737066_2.fastq.gz,2015
NA,NA,ERR737079,SAMEA2663957,MPROS1349,NA,22,NA,8,32,NA,NA,56,MPROS1349,ERS511968,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737079/ERR737079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737079/ERR737079_2.fastq.gz,2015
NA,NA,ERR737099,SAMEA2664009,MPROS1372,NA,22,NA,12,32,NA,NA,57,MPROS1372,ERS512020,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737099/ERR737099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737099/ERR737099_2.fastq.gz,2015
NA,NA,ERR737031,SAMEA2663799,MPROS1271,NA,22,NA,6,48,NA,NA,58,MPROS1271,ERS511810,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737031/ERR737031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737031/ERR737031_2.fastq.gz,2015
NA,NA,ERR737132,SAMEA2664042,MPROS1416,NA,22,NA,0.25,16,NA,NA,59,MPROS1416,ERS512053,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737132/ERR737132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737132/ERR737132_2.fastq.gz,2015
NA,NA,ERR737185,SAMEA2664187,MPROS1348,NA,22,NA,6,24,NA,NA,60,MPROS1348,ERS512198,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737185/ERR737185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737185/ERR737185_2.fastq.gz,2015
NA,NA,ERR737188,SAMEA2664198,MPROS1445,NA,22,NA,16,64,NA,NA,61,MPROS1445,ERS512209,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737188/ERR737188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737188/ERR737188_2.fastq.gz,2015
NA,NA,ERR737269,SAMEA2664258,MPROS1551,NA,22,NA,6,32,NA,NA,62,MPROS1551,ERS512269,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737269/ERR737269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737269/ERR737269_2.fastq.gz,2015
NA,NA,ERR737353,SAMEA2664252,MPROS1650,NA,22,NA,0.125,6,NA,NA,63,MPROS1650,ERS512263,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737353/ERR737353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737353/ERR737353_2.fastq.gz,2015
NA,NA,ERR737376,SAMEA2664287,MPROS1673,NA,22,NA,8,48,NA,NA,64,MPROS1673,ERS512298,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737376/ERR737376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737376/ERR737376_2.fastq.gz,2015
NA,NA,ERR737391,SAMEA2663784,MPROS0546,NA,22,NA,8,32,NA,NA,65,MPROS0546,ERS511795,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737391/ERR737391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737391/ERR737391_2.fastq.gz,2015
NA,NA,ERR737402,SAMEA2663818,MPROS0562,NA,22,NA,8,32,NA,NA,66,MPROS0562,ERS511829,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737402/ERR737402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737402/ERR737402_2.fastq.gz,2015
NA,NA,ERR737418,SAMEA2663867,MPROS1124,NA,22,NA,12,32,NA,NA,67,MPROS1124,ERS511878,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737418/ERR737418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737418/ERR737418_2.fastq.gz,2015
NA,NA,ERR737467,SAMEA2663751,MPROS1179,NA,22,NA,0.064,4,NA,NA,68,MPROS1179,ERS511762,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737467/ERR737467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737467/ERR737467_2.fastq.gz,2015
NA,NA,ERR737479,SAMEA2664301,MPROS1689,NA,22,NA,8,32,NA,NA,69,MPROS1689,ERS512312,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737479/ERR737479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737479/ERR737479_2.fastq.gz,2015
NA,NA,ERR737483,SAMEA2664305,MPROS1693,NA,22,NA,0.094,12,NA,NA,70,MPROS1693,ERS512316,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737483/ERR737483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737483/ERR737483_2.fastq.gz,2015
NA,NA,ERR737485,SAMEA2664307,MPROS1696,NA,22,NA,8,32,NA,NA,71,MPROS1696,ERS512318,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737485/ERR737485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737485/ERR737485_2.fastq.gz,2015
NA,NA,ERR737520,SAMEA2664382,MPROS1651,NA,22,NA,8,48,NA,NA,72,MPROS1651,ERS512393,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737520/ERR737520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737520/ERR737520_2.fastq.gz,2015
NA,NA,ERR737528,SAMEA2664401,MPROS1578,NA,22,NA,12,32,NA,NA,73,MPROS1578,ERS512412,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737528/ERR737528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737528/ERR737528_2.fastq.gz,2015
NA,NA,ERR737542,SAMEA2664340,MPROS1744,NA,22,NA,0.25,6,NA,NA,74,MPROS1744,ERS512351,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737542/ERR737542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737542/ERR737542_2.fastq.gz,2015
NA,NA,ERR737578,SAMEA2664491,MPROS2179,NA,22,NA,12,48,NA,NA,75,MPROS2179,ERS512502,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737578/ERR737578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737578/ERR737578_2.fastq.gz,2015
NA,NA,ERR737622,SAMEA2664527,MPROS1916,NA,22,NA,8,32,NA,NA,76,MPROS1916,ERS512538,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737622/ERR737622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737622/ERR737622_2.fastq.gz,2015
NA,NA,ERR742921,SAMEA2664677,MPROS2007,NA,22,NA,8,32,NA,NA,77,MPROS2007,ERS512688,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742921/ERR742921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742921/ERR742921_2.fastq.gz,2015
NA,NA,ERR742941,SAMEA2664717,MPROS2120,NA,22,NA,8,32,NA,NA,78,MPROS2120,ERS512728,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742941/ERR742941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR742/ERR742941/ERR742941_2.fastq.gz,2015
NA,NA,ERR774761,SAMEA2664932,MPROS2466,NA,22,NA,12,48,NA,NA,79,MPROS2466,ERS512943,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR774/ERR774761/ERR774761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR774/ERR774761/ERR774761_2.fastq.gz,2015
NA,NA,ERR774765,SAMEA2664973,MPROS2298,NA,22,NA,2,24,NA,NA,80,MPROS2298,ERS512984,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR774/ERR774765/ERR774765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR774/ERR774765/ERR774765_2.fastq.gz,2015
NA,NA,ERR701951,SAMEA2042885,MPROS729,NA,1,NA,0.064,2,NA,NA,81,MPROS0729,ERS197689,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701951/ERR701951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701951/ERR701951_2.fastq.gz,2015
NA,NA,ERR701976,SAMEA2041043,MPROS741,NA,15,NA,0.047,2,NA,NA,82,MPROS0741,ERS197717,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701976/ERR701976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701976/ERR701976_2.fastq.gz,2015
NA,NA,ERR701991,SAMEA2041052,MPROS0617,NA,361,NA,0.125,16,NA,NA,83,MPROS0617,ERS197732,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701991/ERR701991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701991/ERR701991_2.fastq.gz,2015
NA,NA,ERR702012,SAMEA2042064,MPROS1087,NA,59,NA,0.094,6,NA,NA,84,MPROS1087,ERS198064,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702012/ERR702012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702012/ERR702012_2.fastq.gz,2015
NA,NA,ERR702015,SAMEA2042065,MPROS1090,NA,1,NA,0.047,1.5,NA,NA,85,MPROS1090,ERS198067,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702015/ERR702015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702015/ERR702015_2.fastq.gz,2015
NA,NA,ERR702017,SAMEA2041841,MPROS1092,NA,8,NA,0.023,1.5,NA,NA,86,MPROS1092,ERS198069,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702017/ERR702017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702017/ERR702017_2.fastq.gz,2015
NA,NA,ERR702029,SAMEA2040554,MPROS1107,NA,45,NA,0.064,3,NA,NA,87,MPROS1107,ERS198081,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702029/ERR702029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702029/ERR702029_2.fastq.gz,2015
NA,NA,ERR702085,SAMEA2040737,MPROS605,NA,559,NA,0.25,12,NA,NA,NA,MPROS0605,ERS197585,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702085/ERR702085_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702085/ERR702085_2.fastq.gz,2015
NA,NA,ERR702088,SAMEA2040740,MPROS625,NA,5,NA,0.25,12,NA,NA,89,MPROS0625,ERS197588,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702088/ERR702088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702088/ERR702088_2.fastq.gz,2015
NA,NA,ERR702094,SAMEA2040803,MPROS632,NA,30,NA,16,64,NA,NA,90,MPROS0632,ERS197594,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702094/ERR702094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702094/ERR702094_2.fastq.gz,2015
NA,NA,ERR702148,SAMEA2664755,MPROS2019,NA,361,NA,0.047,3,NA,NA,NA,MPROS2019,ERS512766,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702148/ERR702148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702148/ERR702148_2.fastq.gz,2015
NA,NA,ERR702164,SAMEA2664771,MPROS2136,NA,1,NA,0.25,12,NA,NA,92,MPROS2136,ERS512782,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702164/ERR702164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702164/ERR702164_2.fastq.gz,2015
NA,NA,ERR702178,SAMEA2664785,MPROS2062,NA,80,NA,0.032,0.19,NA,NA,93,MPROS2062,ERS512796,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702178/ERR702178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702178/ERR702178_2.fastq.gz,2015
NA,NA,ERR702141,SAMEA2664748,MPROS2118,NA,30,NA,0.125,24,NA,NA,94,MPROS2118,ERS512759,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702141/ERR702141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702141/ERR702141_2.fastq.gz,2015
NA,NA,ERR702216,SAMEA2664817,MPROS2249,NA,45,NA,0.094,12,NA,NA,95,MPROS2249,ERS512828,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702216/ERR702216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702216/ERR702216_2.fastq.gz,2015
NA,NA,ERR714741,SAMEA2041416,MPROS880,NA,1,NA,0.094,16,NA,NA,96,MPROS0880,ERS197859,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714741/ERR714741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714741/ERR714741_2.fastq.gz,2015
NA,NA,ERR714745,SAMEA2043025,MPROS884,NA,1,NA,1,16,NA,NA,97,MPROS0884,ERS197863,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714745/ERR714745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714745/ERR714745_2.fastq.gz,2015
NA,NA,ERR737225,SAMEA2664156,MPROS1495,NA,5,NA,0.016,0.032,NA,NA,98,MPROS1495,ERS512167,Penicillin Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737225/ERR737225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737225/ERR737225_2.fastq.gz,2015
NA,NA,ERR714747,SAMEA2041421,MPROS886,NA,59,NA,0.047,4,NA,NA,99,MPROS0886,ERS197865,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714747/ERR714747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714747/ERR714747_2.fastq.gz,2015
NA,NA,ERR737221,SAMEA2664142,MPROS1490,NA,97,NA,0.032,6,NA,NA,NA,MPROS1490,ERS512153,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737221/ERR737221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737221/ERR737221_2.fastq.gz,2015
